iter	Passed	Remaining
1402	44673	17990
1403	44708	17959
1404	44731	17924
1405	44765	17893
1406	44790	17858
1407	44814	17823
1408	44836	17788
1409	44865	17755
1410	44879	17716
1411	44901	17680
1412	44940	17651
1413	44958	17614
1414	44982	17579
1415	45009	17546
1416	45033	17511
1417	45068	17480
1418	45090	17445
1419	45114	17410
1420	45136	17374
1421	45173	17345
1422	45186	17306
1423	45211	17271
1424	45228	17234
1425	45249	17198
1426	45266	17161
1427	45294	17128
1428	45314	17092
1429	45338	17057
1430	45372	17026
1431	45412	16997
1432	45447	16967
1433	45480	16936
1434	45515	16905
1435	45527	16866
1436	45554	16833
1437	45577	16798
1438	45613	16768
1439	45644	16736
1440	45664	16700
1441	45683	16663
1442	45711	16630
1443	45739	16597
1444	45778	16569
1445	45805	16535
1446	45831	16501
1447	45856	16467
1448	45873	16430
1449	45895	16395
1450	45938	16368
1451	45966	16335
1452	45995	16302
1453	46027	16270
1454	46047	16235
1455	46071	16200
1456	46099	16167
1457	46131	16136
1458	46151	16100
1459	46178	16067
1460	46215	16037
1461	46252	16008
1462	46288	15978
1463	46317	15945
1464	46344	15912
1465	46365	15876
1466	46408	15849
1467	46434	15815
1468	46465	15783
1469	46481	15746
1470	46515	15715
1471	46538	15681
1472	46572	15650
1473	46593	15615
1474	46623	15583
1475	46653	15551
1476	46675	15516
1477	46695	15480
1478	46728	15449
1479	46749	15414
1480	46779	15382
1481	46809	15350
1482	46829	15315
1483	46867	15285
1484	46888	15250
1485	46926	15221
1486	46947	15186
1487	46963	15149
1488	46986	15115
1489	47011	15081
1490	47056	15054
1491	47079	15020
1492	47094	14983
1493	47128	14952
1494	47144	14915
1495	47182	14886
1496	47219	14856
1497	47235	14820
1498	47257	14785
1499	47270	14748
1500	47298	14715
1501	47317	14680
1502	47336	14645
1503	47365	14612
1504	47406	14584
1505	47423	14548
1506	47445	14513
1507	47471	14480
1508	47505	14449
1509	47545	14421
1510	47557	14383
1511	47576	14348
1512	47610	14317
1513	47631	14283
1514	47656	14249
1515	47708	14224
1516	47743	14193
1517	47758	14157
1518	47785	14124
1519	47809	14091
1520	47823	14054
1521	47837	14017
1522	47872	13987
1523	47898	13954
1524	47915	13919
1525	47945	13887
1526	47961	13851
1527	47989	13819
1528	48008	13783
1529	48047	13754
1530	48058	13717
1531	48086	13685
1532	48107	13650
1533	48136	13618
1534	48166	13587
1535	48206	13557
1536	48228	13524
1537	48253	13490
1538	48269	13455
1539	48302	13424
1540	48340	13394
1541	48363	13361
1542	48399	13331
1543	48426	13298
1544	48460	13267
1545	48476	13232
1546	48506	13200
1547	48523	13165
1548	48554	13133
1549	48590	13103
1550	48619	13071
1551	48661	13043
1552	48676	13007
1553	48710	12976
1554	48737	12944
1555	48757	12910
1556	48778	12876
1557	48806	12843
1558	48826	12809
1559	48862	12779
1560	48887	12746
1561	48912	12713
1562	48936	12680
1563	48956	12645
1564	48984	12613
1565	49002	12579
1566	49019	12544
1567	49056	12514
1568	49074	12479
1569	49091	12444
1570	49120	12413
1571	49144	12379
1572	49159	12344
1573	49179	12310
1574	49197	12275
1575	49218	12242
1576	49241	12208
1577	49270	12176
1578	49301	12145
1579	49322	12112
1580	49359	12082
1581	49386	12049
1582	49414	12018
1583	49444	11986
1584	49479	11956
1585	49502	11923
1586	49530	11891
1587	49549	11856
1588	49569	11822
1589	49608	11793
1590	49635	11761
1591	49654	11727
1592	49688	11697
1593	49714	11664
1594	49739	11631
1595	49758	11597
1596	49776	11563
1597	49800	11530
1598	49828	11498
1599	49857	11467
1600	49900	11438
1601	49910	11402
1602	49928	11368
1603	49955	11336
1604	49989	11305
1605	50010	11272
1606	50029	11238
1607	50049	11205
1608	50072	11172
1609	50095	11139
1610	50110	11104
1611	50137	11072
1612	50161	11039
1613	50194	11009
1614	50216	10976
1615	50235	10942
1616	50267	10911
1617	50283	10877
1618	50309	10844
1619	50331	10812
1620	50364	10781
1621	50395	10750
1622	50413	10716
1623	50455	10687
1624	50484	10656
1625	50511	10624
1626	50524	10589
1627	50563	10559
1628	50586	10527
1629	50600	10492
1630	50626	10460
1631	50666	10431
1632	50696	10400
1633	50720	10367
1634	50740	10334
1635	50766	10302
1636	50787	10269
1637	50814	10237
1638	50850	10207
1639	50880	10176
1640	50910	10144
1641	50927	10111
1642	50944	10077
1643	50962	10043
1644	50977	10009
1645	51016	9980
1646	51047	9949
1647	51069	9916
1648	51096	9884
1649	51135	9855
1650	51172	9825
1651	51187	9791
1652	51201	9757
1653	51218	9723
1654	51235	9689
1655	51262	9658
1656	51289	9626
1657	51310	9593
1658	51330	9560
1659	51361	9529
1660	51387	9497
1661	51399	9463
1662	51432	9432
